Type,Name,Address,District,,Type,District
MRT Station, Upper Thomson MRT Station (TE8),"1 Jalan Keli, S(577937)",Central,,,
MRT Station, Woodleigh MRT Station (NE11),"400 Upper Serangoon Road, S(347695)",Central,,,
MRT Station, Yio Chu Kang MRT Station (NS15),"3000 Ang Mo Kio Avenue 8, S(569813)",Central,,,
Park, The Oval Seletar Aerospace Park,"3 Park Lane, S(798387)",Central,,,
Pier, Marina South Pier,"31 Marina Coastal Drive, S(018988)",Central,,,
Place of worship, St.George's Church,"44 Minden Road, S(248816)",Central,,,
Private Office, Lum Chang Building,"14, Kung Chong Road, S(159150)",Central,,,
Private Office, Wee Hur Construction Pte Ltd,"39 Kim Keat Road, Wee Hur Building, S(328814)",Central,,,
Restaurant,MTR 1924 Indian Restaurant,"438 Serangoon Road, S(218133)",Central,,,
Shopping Centre, Buangkok Square Mall,"991 Buangkok Link, Buangkok Square Mall, S(530991)",Central,,,
Shopping Centre, City Square Mall,"180 Kitchener Road, City Square Mall, S(208539)",Central,,,
Shopping Centre, Dawson Place Shopping Centre,"57 Dawson Road, S(142057)",Central,,,
Shopping Centre, New Bridge Centre,"336, Smith Street, S(050336)",Central,,,
Shopping Centre, Palais Renaissance,"390 Orchard Road, S(238871)",Central,,,
Shopping Centre, Quayside Isle | Sentosa Island,"31 Ocean Way, S(098375)",Central,,,
Shopping Centre, Raffles City Shopping Centre,"252 North Bridge Road, S(179103)",Central,,,
Shopping Centre, Robertson Walk,"11, Unity Street, #02-20A, S(237995)",Central,,,
Shopping Centre, The Central,"6 Eu Tong Sen Street, S(059817)",Central,,,
Shopping Centre, The Shoppes at Marina Bay Sands,"2 Bayfront Avenue, S(018972)",Central,,,
Shopping Centre, Tiong Bahru Plaza,"302 Tiong Bahru Road, S(168732)",Central,,,
Shopping Centre, Valley Point Mall,"491 River Valley Road, S(248371)",Central,,,
Tourist Attraction, ArBora Cafe,"109 Mount Faber Road, Level 2, S(099230)",Central,,,
Tourist Attraction, Merlion Park@Fullerton ,"1 Fullerton Road, S(049178)",Central,,,
Tourist Attraction, Mount Faber Peak,"109 Mount Faber Road, Level 1, S(099230)",Central,,,
